CPUS_PER_PROC,NPROCS,WIDTH,NITER,FLOPS,FILE
1,384,1920,134217728,19033950000000.0,8node_nonsmp_odf5_data.txt
1,384,1920,2097152,19070140000000.0,8node_nonsmp_odf5_data.txt
1,384,1920,16777216,19042950000000.0,8node_nonsmp_odf5_data.txt
1,384,1920,134217728,19109610000000.0,8node_nonsmp_odf5_data.txt
1,384,1920,64,1204720000000.0,8node_nonsmp_odf5_data.txt
1,384,1920,262144,19141930000000.0,8node_nonsmp_odf5_data.txt
1,384,1920,32768,18636850000000.0,8node_nonsmp_odf5_data.txt
1,384,1920,4096,15370980000000.0,8node_nonsmp_odf5_data.txt
1,384,1920,2097152,19294280000000.0,8node_nonsmp_odf5_data.txt
1,384,1920,512,6239220000000.0,8node_nonsmp_odf5_data.txt
1,384,1920,16777216,19112790000000.0,8node_nonsmp_odf5_data.txt
1,384,1920,2097152,18997300000000.0,8node_nonsmp_odf5_data.txt
1,384,1920,262144,19151320000000.0,8node_nonsmp_odf5_data.txt
1,384,1920,512,6349073000000.0,8node_nonsmp_odf5_data.txt
1,384,1920,134217728,19096500000000.0,8node_nonsmp_odf5_data.txt
1,384,1920,16777216,19025140000000.0,8node_nonsmp_odf5_data.txt
1,384,1920,4096,14954600000000.0,8node_nonsmp_odf5_data.txt
1,384,1920,64,1216268000000.0,8node_nonsmp_odf5_data.txt
1,384,1920,32768,18644530000000.0,8node_nonsmp_odf5_data.txt
24,16,1840,64,398316100000.0,8node_2p_odf5_data.txt
24,16,1840,262144,18416130000000.0,8node_2p_odf5_data.txt
24,16,1840,134217728,18343650000000.0,8node_2p_odf5_data.txt
24,16,1840,512,3839795000000.0,8node_2p_odf5_data.txt
24,16,1840,32768,17447020000000.0,8node_2p_odf5_data.txt
24,16,1840,2097152,18431760000000.0,8node_2p_odf5_data.txt
24,16,1840,16777216,18383990000000.0,8node_2p_odf5_data.txt
24,16,1840,4096,14696020000000.0,8node_2p_odf5_data.txt
24,16,1840,512,5536386000000.0,8node_2p_odf5_data.txt
24,16,1840,2097152,18361910000000.0,8node_2p_odf5_data.txt
24,16,1840,262144,18307610000000.0,8node_2p_odf5_data.txt
24,16,1840,64,382693800000.0,8node_2p_odf5_data.txt
24,16,1840,32768,17392640000000.0,8node_2p_odf5_data.txt
24,16,1840,16777216,18367340000000.0,8node_2p_odf5_data.txt
24,16,1840,134217728,18382990000000.0,8node_2p_odf5_data.txt
24,16,1840,4096,14860570000000.0,8node_2p_odf5_data.txt
24,16,1840,64,499066700000.0,8node_2p_odf5_data.txt
24,16,1840,16777216,18388750000000.0,8node_2p_odf5_data.txt
24,16,1840,32768,17796630000000.0,8node_2p_odf5_data.txt
24,16,1840,2097152,18327530000000.0,8node_2p_odf5_data.txt
24,16,1840,134217728,18371150000000.0,8node_2p_odf5_data.txt
24,16,1840,4096,14710130000000.0,8node_2p_odf5_data.txt
24,16,1840,262144,18191130000000.0,8node_2p_odf5_data.txt
24,16,1840,512,5871422000000.0,8node_2p_odf5_data.txt
24,16,1840,262144,18284770000000.0,8node_2p_odf5_data.txt
24,16,1840,32768,17798160000000.0,8node_2p_odf5_data.txt
24,16,1840,64,515387700000.0,8node_2p_odf5_data.txt
24,16,1840,2097152,18401160000000.0,8node_2p_odf5_data.txt
24,16,1840,4096,14748140000000.0,8node_2p_odf5_data.txt
24,16,1840,512,2885103000000.0,8node_2p_odf5_data.txt
24,16,1840,134217728,18397570000000.0,8node_2p_odf5_data.txt
24,16,1840,16777216,18354760000000.0,8node_2p_odf5_data.txt
24,16,1840,134217728,18364260000000.0,8node_2p_odf5_data.txt
24,16,1840,262144,18286610000000.0,8node_2p_odf5_data.txt
24,16,1840,32768,16558040000000.0,8node_2p_odf5_data.txt
24,16,1840,512,2783443000000.0,8node_2p_odf5_data.txt
24,16,1840,2097152,18421490000000.0,8node_2p_odf5_data.txt
24,16,1840,16777216,18349070000000.0,8node_2p_odf5_data.txt
24,16,1840,4096,14575020000000.0,8node_2p_odf5_data.txt
24,16,1840,64,677381300000.0,8node_2p_odf5_data.txt
24,16,1840,2097152,17103550000000.0,8node_2p_odf5_data.txt
24,16,1840,512,4452872000000.0,8node_2p_odf5_data.txt
24,16,1840,64,370161200000.0,8node_2p_odf5_data.txt
24,16,1840,134217728,18392760000000.0,8node_2p_odf5_data.txt
24,16,1840,32768,17191450000000.0,8node_2p_odf5_data.txt
24,16,1840,16777216,18290820000000.0,8node_2p_odf5_data.txt
24,16,1840,4096,14754000000000.0,8node_2p_odf5_data.txt
24,16,1840,262144,12366280000000.0,8node_2p_odf5_data.txt
1,384,768,32768,17411430000000.0,8node_mpi_odf2_data.txt
1,384,768,16777216,19134580000000.0,8node_mpi_odf2_data.txt
1,384,768,134217728,19171170000000.0,8node_mpi_odf2_data.txt
1,384,768,512,1738603000000.0,8node_mpi_odf2_data.txt
1,384,768,4096,17072050000000.0,8node_mpi_odf2_data.txt
1,384,768,64,2220553000000.0,8node_mpi_odf2_data.txt
1,384,768,262144,16518780000000.0,8node_mpi_odf2_data.txt
1,384,768,2097152,19202250000000.0,8node_mpi_odf2_data.txt
1,384,768,512,9933942000000.0,8node_mpi_odf2_data.txt
1,384,768,32768,17349640000000.0,8node_mpi_odf2_data.txt
1,384,768,262144,17187570000000.0,8node_mpi_odf2_data.txt
1,384,768,64,740516900000.0,8node_mpi_odf2_data.txt
1,384,768,2097152,19160010000000.0,8node_mpi_odf2_data.txt
1,384,768,134217728,19209640000000.0,8node_mpi_odf2_data.txt
1,384,768,16777216,19195110000000.0,8node_mpi_odf2_data.txt
1,384,768,4096,17222860000000.0,8node_mpi_odf2_data.txt
1,384,768,2097152,19034040000000.0,8node_mpi_odf2_data.txt
1,384,768,64,2250001000000.0,8node_mpi_odf2_data.txt
1,384,768,4096,16802220000000.0,8node_mpi_odf2_data.txt
1,384,768,512,5080468000000.0,8node_mpi_odf2_data.txt
1,384,768,16777216,19216840000000.0,8node_mpi_odf2_data.txt
1,384,768,32768,17336000000000.0,8node_mpi_odf2_data.txt
1,384,768,262144,16814970000000.0,8node_mpi_odf2_data.txt
1,384,768,134217728,19183870000000.0,8node_mpi_odf2_data.txt
1,384,768,2097152,19112150000000.0,8node_mpi_odf2_data.txt
1,384,768,16777216,19023060000000.0,8node_mpi_odf2_data.txt
1,384,768,32768,18584410000000.0,8node_mpi_odf2_data.txt
1,384,768,64,1620052000000.0,8node_mpi_odf2_data.txt
1,384,768,4096,17254740000000.0,8node_mpi_odf2_data.txt
1,384,768,134217728,19073090000000.0,8node_mpi_odf2_data.txt
1,384,768,512,9863426000000.0,8node_mpi_odf2_data.txt
1,384,768,262144,14947290000000.0,8node_mpi_odf2_data.txt
1,384,768,64,928291800000.0,8node_mpi_odf2_data.txt
1,384,768,32768,16914320000000.0,8node_mpi_odf2_data.txt
1,384,768,4096,13232810000000.0,8node_mpi_odf2_data.txt
1,384,768,134217728,19002170000000.0,8node_mpi_odf2_data.txt
1,384,768,262144,15882960000000.0,8node_mpi_odf2_data.txt
1,384,768,16777216,18981280000000.0,8node_mpi_odf2_data.txt
1,384,768,2097152,18941330000000.0,8node_mpi_odf2_data.txt
1,384,768,512,9765260000000.0,8node_mpi_odf2_data.txt
1,384,768,134217728,18999000000000.0,8node_mpi_odf2_data.txt
1,384,768,16777216,18996870000000.0,8node_mpi_odf2_data.txt
1,384,768,512,9785879000000.0,8node_mpi_odf2_data.txt
1,384,768,32768,12422520000000.0,8node_mpi_odf2_data.txt
1,384,768,2097152,19174680000000.0,8node_mpi_odf2_data.txt
1,384,768,262144,15950480000000.0,8node_mpi_odf2_data.txt
1,384,768,64,2187156000000.0,8node_mpi_odf2_data.txt
1,384,768,4096,17103540000000.0,8node_mpi_odf2_data.txt
