framework,ncpu,iter,elapsed,flops
mpi-non,48,64,0.003040605,521327800000.0
mpi-non,48,512,0.007515382,1675923000000.0
mpi-non,48,4096,0.04887916,2059683000000.0
mpi-non,48,32768,0.344855,2335238000000.0
mpi-non,48,262144,2.654785,2426737000000.0
mpi-non,48,2097152,21.73481,2371294000000.0
mpi-non,48,16777216,173.0534,2382599000000.0
mpi-non,48,64,0.003067507,516755800000.0
mpi-non,48,512,0.00766198,1643857000000.0
mpi-non,48,4096,0.04436515,2269249000000.0
mpi-non,48,32768,0.3635251,2215304000000.0
mpi-non,48,262144,2.722663,2366236000000.0
mpi-non,48,2097152,21.56002,2390518000000.0
mpi-non,48,16777216,175.9288,2343658000000.0
mpi-non,48,64,0.003007415,527081200000.0
mpi-non,48,512,0.007547406,1668812000000.0
mpi-non,48,4096,0.04434887,2270082000000.0
mpi-non,48,32768,0.3605015,2233884000000.0
mpi-non,48,262144,2.688856,2395987000000.0
mpi-non,48,2097152,21.5916,2387022000000.0
mpi-non,48,16777216,175.9282,2343665000000.0
mpi-non,48,64,0.003054935,518882400000.0
mpi-non,48,512,0.007580388,1661551000000.0
mpi-non,48,4096,0.0443007,2272551000000.0
mpi-non,48,32768,0.3623699,2222367000000.0
mpi-non,48,262144,2.689954,2395009000000.0
mpi-non,48,2097152,21.60518,2385521000000.0
mpi-non,48,16777216,172.4725,2390624000000.0
mpi-non,48,64,0.003027275,523623400000.0
mpi-non,48,512,0.007585065,1660526000000.0
mpi-non,48,4096,0.05139292,1958939000000.0
mpi-non,48,32768,0.3598658,2237830000000.0
mpi-non,48,262144,2.686876,2397752000000.0
mpi-non,48,2097152,21.58245,2388034000000.0
mpi-non,48,16777216,172.2339,2393936000000.0
mpi-non,96,64,0.003236681,979492300000.0
mpi-non,96,512,0.007538679,3341487000000.0
mpi-non,96,4096,0.04392336,4584148000000.0
mpi-non,96,32768,0.3507265,4592289000000.0
mpi-non,96,262144,2.696594,4778222000000.0
mpi-non,96,2097152,21.26272,4847887000000.0
mpi-non,96,16777216,173.6654,4748406000000.0
mpi-non,96,64,0.003164567,1001813000000.0
mpi-non,96,512,0.007992124,3151903000000.0
mpi-non,96,4096,0.04389117,4587509000000.0
